tempo,chroma_mean,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,filename,label,cluster
123.046875,0.5482844,3033.243438778389,-194.39122,44.456898,-2.9380724,12.275527,3.5357666,10.784092,1.070394,8.805221,2.5491712,0.8020936,-0.44085175,-1.2101392,-8.822642,Release Me feat. Lotti (Original Mix).mp3,Favorites,1
123.046875,0.4320084,1049.4250775634753,-290.23386,93.42132,50.216717,36.572235,30.583416,27.2226,13.197806,10.47118,9.473685,10.062754,6.0914445,3.8589118,0.22559604,Collected_Works_3_(Thyladomid_-_The_Voice)-O.mp3,Favorites,4
123.046875,0.62535816,3709.592426856868,-157.003,25.729671,3.6758583,3.2337542,2.3981435,13.845041,-0.030054523,4.7159925,1.5956976,8.002597,1.6770769,6.59589,2.2805974,Long & Harris - Will She Wait (Original Mix).mp3,Favorites,2
123.046875,0.5251771,4009.912283983795,-148.10393,31.603382,28.29627,-2.861135,-7.3093586,-0.48957518,-11.912994,-5.84602,-9.233018,-4.4516063,-5.2418804,-2.4408004,-4.912214,02 horns and blaaaaa.mp3,Favorites,2
123.046875,0.5798255,3875.46861710448,-187.2612,0.05603292,31.150457,25.737362,20.552692,24.652607,7.231093,16.427265,6.7805457,7.859423,1.9117726,5.493767,0.44677946,07 old shit rainbow.mp3,Favorites,2
123.046875,0.6059945,4041.513067872129,-100.44711,3.725515,-10.756618,7.1885347,-9.151856,4.652068,-9.908157,2.7688975,-5.6599426,4.8963804,-3.9811437,2.4568553,-5.8006883,Mirko - Meex - Fallin- (Original Mix).mp3,Favorites,2
129.19921875,0.5148473,3264.663544189112,-204.79741,52.943615,27.007177,19.22793,11.669599,15.164623,1.4407014,8.841628,1.5544509,9.011768,-4.861013,3.875947,0.6544502,Ian Pooley - What's Your Number.mp3,Favorites,1
123.046875,0.53453916,2849.616429804879,-130.8659,59.554913,27.583767,24.60383,1.7840421,17.184834,0.9076633,8.262368,1.4680506,5.8627915,4.057916,5.582613,1.9550197,Lose_Myself_(Deep_Mix)-SHE004-4(320k).mp3,Favorites,3
123.046875,0.5981382,3841.8722946862126,-171.66402,-12.359331,19.662226,31.35104,4.7162457,17.294552,9.828262,14.853244,10.72998,11.809354,4.892663,10.072009,3.7238376,"Abm - a12bf64f-47c0-4050-87d5-6c8919e7ac65 - Kevin McKay, N2N, Mila Falls - Paradise (Extended ViP).m4a",Favorites,2
123.046875,0.61085206,3879.116997050213,-205.8729,0.4086268,13.859661,25.956137,4.734649,22.330889,2.5828812,21.37367,1.5557079,8.223685,0.2929566,5.002799,-4.175483,"Matt Prehn, Griffin - Dark Circles.mp3",Favorites,2
129.19921875,0.5429373,2650.3178264746216,-208.89914,44.091206,16.624697,23.936544,12.17595,14.813187,5.2971916,8.208132,6.5798388,12.636755,8.723557,10.420646,6.0392694,Sneaky Sound System - Pictures (Tonite Only .mp3,Favorites,3
123.046875,0.6126763,3108.9651256444627,-141.05536,48.58471,-1.0154638,10.329256,5.731335,18.019535,0.5251753,9.648484,-1.8456895,6.025196,2.4143581,4.421586,1.4736339,01 everybody loves you.mp3,Favorites,1
123.046875,0.58713967,3709.671662790744,-146.63104,31.32111,28.569971,24.353025,12.915724,17.240757,2.6923716,6.7704587,-1.1257819,2.604944,0.38073462,3.4797235,-2.3674762,"Ebm - 4df2296d-31b0-486e-9aeb-538fe9a6fc1d - Love Klubb, Amanda Wilson - I Won-t Wait For You (Extended Klubb Mix).m4a",Favorites,2
