tempo,chroma_mean,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,filename,label,cluster
[123.046875],0.47051215,2782.954964400317,-68.53923,74.08377,-22.177671,-0.33331993,-24.652449,-9.957714,-13.154725,-15.418477,-14.886677,-6.528495,-19.009087,-9.221,-12.477124,Korqi - Feeling (Original Mix).mp3,Favorites,3
[123.046875],0.5475744,3408.402627947854,-166.50394,23.747643,13.579141,37.06526,5.6286907,17.939045,-4.4188423,8.036778,1.3067552,4.01284,-2.9828587,1.9593838,-1.8750507,Rhythm Collect - For You.mp3,Favorites,1
[123.046875],0.5272984,3154.7558389119376,-163.2105,45.333218,-9.192294,10.103862,-3.328488,4.799337,-4.3663025,-1.3059369,-4.913667,0.952598,-4.3983874,-1.0649592,-4.4455175,Giom - Red Light (Deep Active Sound Remix).mp3,Favorites,1
[123.046875],0.6326655,2610.854111381301,-209.20892,29.082207,16.919582,47.81742,17.239632,24.54209,13.506352,17.31703,9.198394,13.846175,7.3097773,10.012357,5.0198793,Black Loops - No Questions (Original Mix) [quality-dance-music.com].mp3,Favorites,3
[123.046875],0.62091595,3046.6135117170425,-118.61557,42.937984,16.473022,26.50584,5.570789,15.276957,7.330379,10.556202,-1.841784,4.687549,2.1672177,4.0025406,-0.54816025,"Seb Skalski, Rona Ray - Toni-s Groove (Extended Mix).mp3",Favorites,1
[123.046875],0.56114763,3220.4961469913874,-87.85667,49.078815,-7.034017,-1.9554046,-14.527189,10.449178,-10.556607,4.4209757,-4.4081225,8.445638,2.4876933,3.4249113,0.09382318,"Gianni Bini, Liz Hill - Groove Is in the Heart (Original Dee-Booty Mix).mp3",Favorites,1
[123.046875],0.46924573,2281.830824105031,-225.53775,73.45982,5.782035,24.134243,0.089400254,8.742624,0.9700676,1.7089617,-0.3956721,0.86321646,-5.128769,-0.99368846,-2.0478957,04 RUNNIN AROUND.m4a,Favorites,0
[123.046875],0.6033998,2842.708524352496,-149.22763,50.347107,-2.2710173,16.996407,0.043311153,10.408941,4.071146,13.642857,3.6410263,8.28456,0.88012147,4.9222364,0.2007196,Format B - Atomizer (Sebastien Leger Remix) [www.whatDjplays.com].mp3,Favorites,3
[123.046875],0.5552034,2338.561072270748,-164.36856,66.79366,36.095463,37.793587,20.402996,23.342693,9.191373,12.034602,9.732372,13.487193,4.3014345,6.9282875,1.8661141,"051.Green Velvet, Riva Starr - Robots (Weiss Remix).mp3",Favorites,0
[123.046875],0.616677,2662.801774385188,-268.01343,27.63753,16.36606,26.537012,14.189003,23.525837,14.754904,19.04663,12.448363,13.738798,7.630463,11.724987,7.0014777,Sonic Future - What You Gonna Do (Christian Alvarez Backspin Mix) (www.MusicDjsMp3.com).mp3,Favorites,3
[129.19921875],0.3046655,2409.6855143159983,-141.32144,80.88105,-30.209558,21.425873,2.357042,9.102495,-6.7782173,0.52745867,-1.4904137,-6.6316385,-11.410073,-2.824125,2.25857,The Supermen Lovers - Starlight_www.clubkings.eu.mp3,Favorites,0
[123.046875],0.61650187,3714.361943708325,-213.8421,33.622906,25.01175,14.895776,3.7110517,13.141348,-0.62320906,6.3701777,-0.01849932,2.6147344,-2.955891,1.3271329,-2.5844617,01 MAke me feel so good.mp3,Favorites,2
[123.046875],0.5985572,3355.6785708280504,-121.109,26.31792,-2.4978502,13.757528,-0.29872704,14.641268,-0.45245618,6.5138655,-1.1450461,3.0119855,-2.6005216,3.6653802,-2.0810754,"Dennis Ferrer, DJ Kone - Marc Palacios - Church Lady (Unreleased DJ Kone - Marc Palacios Remix).mp3",Favorites,1
